NAME,VC,AVTOA,AVOTOA,AVOSOA,AVSATOA,MMVC,FCC,SLOC,TLOC,MMTOA,MMSOA
APPFP,35,0.593,0,0.382,0.558,15,152,1233,1068,0.6,1
AOVICP,14,0.692,0,0.307,0.692,7,99,1337,854,0.714285714,1
ABFM,19,0.111,0,0.888,0.111,8,126,787,378,0,1
BAGC,48,0.617,0,0.382,0.617,13,1110,7520,6398,0.846153846,1
BEWMCHS,24,0.818,0,0.181,0.818,20,667,9378,2827,0.9,1
BPFC,30,0.592,0,0.379,0.551,13,559,3342,2546,0.923076923,1
FBR,51,0.46,0,0.529,0.45,35,441,2470,536,0.428571429,1
HTTYPI,25,0.75,0,0.25,0.75,10,367,4816,3284,0.9,1
JEFTBS,99,0.694,0,0.295,0.673,42,547,2437,4972,0.80952381,1
LYSYSSISF,11,0.5,0,0.5,0.5,7,67,384,259,0.714285714,1
MACFGIW,9,0.375,0,0.625,0.375,6,145,8290,491,0.5,1
MMPITALS,35,0.242,0,0.735,0.235,16,122,769,2189,0.25,1
PSTCTCA,21,0.5,0,0.5,0.5,8,99,2646,117,0.75,1
SWCWFT,7,0.833,0,0.166,0.833,5,129,4583,969,1,1
STFG,67,0.552,0.409,0.242,0.075,66,160,2330,1574,0.660714286,0.446428571
SSFM,45,0.613,0,0.386,0.613,7,799,5090,3902,0.857142857,1
STLPUDB,30,0.62,0,0.379,0.62,18,249,2222,1121,0.667,1
TDSFM,32,0.2,0,0.774,0.193,12,663,17657,2363,0.33,1
TSCLI,134,0.674,0,0.323,0.669,31,1735,9194,2036,0.838709677,0.967741935
UAITFCAA,11,0.9,0,0.1,0.9,10,148,2458,2189,0.9,1
WPPFC,18,0.529,0,0.47,0.529,11,140,1721,788,0.54545,1