name,version_count,all_version_test_over_all,all_version_only_test_over_all,all_version_only_source_over_all,all_version_source_and_test_over_all,major_minor_version_count,file_change_count,eloc,tloc,major_minor_test_over_all,major_minor_source_over_all
A PHPUnit plugin for Psalm,35,0.593,0,0.382,0.558,15,152,1233,1068,0.6,1
An OpenVPN iOS Configuration Profile,14,0.692,0,0.307,0.692,7,99,1337,854,0.714285714,1
Around block for minitest,19,0.111,0,0.888,0.111,8,126,787,378,0,1
BBC Accessibility Guidelines Checker,48,0.617,0,0.382,0.617,13,1110,7520,6398,0.846153846,1
Behat extension with most custom helper steps,24,0.818,0,0.181,0.818,20,667,9378,2827,0.9,1
Best practice for Cucumber,30,0.592,0,0.379,0.551,13,559,3342,2546,0.923076923,1
Factory Bot Rails,51,0.46,0,0.529,0.45,35,441,2470,536,0.428571429,1
Full-Stack OpenFlow Framework in Ruby,70,0.589,0,0.333,0.478,9,3811,92105,4839,0.88889,1
Helps to test your proxy infrastructure,25,0.75,0,0.25,0.75,10,367,4816,3284,0.9,1
jekyll extensions for the blogging scholar,99,0.694,0,0.295,0.673,42,547,2437,4972,0.80952381,1
Lets you split your ssh_config into separate files,11,0.5,0,0.5,0.5,7,67,384,259,0.714285714,1
Manage Advanced Custom Fields groups in WP-CLI,9,0.375,0,0.625,0.375,6,145,8290,491,0.5,1
Moodle Mobile plugin including the app language strings,35,0.242,0,0.735,0.235,16,122,769,2189,0.25,1
PHP SDK to consume the continuousphp API,21,0.5,0,0.5,0.5,8,99,2646,117,0.75,1
Scaffolds WP-CLI commands with functional tests,7,0.833,0,0.166,0.833,5,129,4583,969,1,1
Smoke tests for GOVUK,67,0.552,0.409,0.242,0.075,66,160,2330,1574,0.660714286,0.446428571
Sprockets support for Middleman,45,0.613,0,0.386,0.613,7,799,5090,3902,0.857142857,1
Stubs to let Psalm understand Doctrine better,30,0.62,0,0.379,0.62,18,249,2222,1121,0.667,1
The DigitalState Forms Microservice,32,0.2,0,0.774,0.193,12,663,17657,2363,0.33,1
The DigitalState Platform,34,0.424,0,0.575,0.424,13,7938,44143,130,0.846153846,1
The SDKMAN! Command Line Interface,134,0.674,0,0.323,0.669,31,1735,9194,2036,0.838709677,0.967741935
UI and integration tests for CommCare Android app,11,0.9,0,0.1,0.9,10,148,2458,2189,0.9,1
Wire protocol plugin for Cucumber,18,0.529,0,0.47,0.529,11,140,1721,788,0.54545,1




[[0.2204724409448819], [0.05511811023622047], [0.09448818897637797], [0.3228346456692913], [0.13385826771653542], [0.18110236220472442], [0.3464566929133858], [0.1417322834645669], [0.7244094488188976], [0.031496062992125984], [0.015748031496062992], [0.2204724409448819], [0.11023622047244093], [0.0], [0.4724409448818897], [0.2992125984251968], [0.18110236220472442], [0.19685039370078738], [0.9999999999999999], [0.031496062992125984], [0.08661417322834646]]
[[0.6108998732572876], [0.7363751584283902], [0.0], [0.6413181242078579], [0.8960709759188845], [0.6096324461343472], [0.44233206590621044], [0.8098859315589353], [0.7389100126742711], [0.4930291508238276], [0.33460076045627374], [0.16603295310519645], [0.4930291508238276], [0.915082382762991], [0.55893536121673], [0.6362484157160962], [0.6451204055766793], [0.11280101394169834], [0.7135614702154626], [1.0], [0.5297845373891001]]
[[0.0], [0.0], [0.0], [0.0], [0.0], [0.0], [0.0], [0.0], [0.0], [0.0], [0.0], [0.0], [0.0], [0.0], [1.0], [0.0], [0.0], [0.0], [0.0], [0.0], [0.0]]
[[0.35786802030456855], [0.2626903553299492], [1.0], [0.35786802030456855], [0.10279187817258881], [0.3540609137055838], [0.5444162436548223], [0.19035532994923857], [0.24746192893401012], [0.5076142131979695], [0.6662436548223349], [0.8058375634517766], [0.5076142131979695], [0.08375634517766498], [0.18020304568527915], [0.36294416243654826], [0.3540609137055838], [0.8553299492385786], [0.28299492385786806], [0.0], [0.46954314720812174]]
[[0.5854545454545453], [0.7478787878787877], [0.043636363636363626], [0.6569696969696968], [0.9006060606060604], [0.5769696969696969], [0.45454545454545453], [0.818181818181818], [0.7248484848484847], [0.515151515151515], [0.3636363636363636], [0.1939393939393939], [0.515151515151515], [0.9187878787878786], [0.0], [0.652121212121212], [0.6606060606060604], [0.143030303030303], [0.7199999999999999], [0.9999999999999999], [0.5503030303030302]]
[[0.1639344262295082], [0.032786885245901634], [0.04918032786885246], [0.13114754098360656], [0.24590163934426232], [0.13114754098360656], [0.4918032786885247], [0.0819672131147541], [0.6065573770491803], [0.032786885245901634], [0.01639344262295081], [0.18032786885245902], [0.04918032786885246], [0.0], [1.0], [0.032786885245901634], [0.21311475409836064], [0.11475409836065573], [0.42622950819672134], [0.0819672131147541], [0.09836065573770492]]
[[0.05095923261390886], [0.019184652278177457], [0.035371702637889677], [0.6252997601918465], [0.3597122302158273], [0.29496402877697836], [0.224220623501199], [0.17985611510791366], [0.28776978417266186], [0.0], [0.046762589928057555], [0.032973621103117495], [0.019184652278177457], [0.037170263788968816], [0.055755395683453224], [0.4388489208633093], [0.10911270983213428], [0.35731414868105515], [1.0], [0.04856115107913668], [0.04376498800959232]]
[[0.04915185549701846], [0.05517281306084641], [0.023331210559833265], [0.4131303189949632], [0.5206970416256586], [0.1712499276327216], [0.12076651421293348], [0.2565854223354368], [0.1188560180628727], [0.0], [0.45770856249638164], [0.0222891217507092], [0.1309558270132577], [0.24309616163955308], [0.11266137903085742], [0.27244832976321426], [0.106408846176113], [1.0], [0.5100445782435015], [0.1200717883401841], [0.07740404098882649]]
[[0.1514090113039325], [0.11733800350262696], [0.04155389269224646], [1.0], [0.43145995860531766], [0.38672185957650057], [0.06670912275115427], [0.5042190733959561], [0.7729660882025156], [0.02260786498965133], [0.0595446584938704], [0.3298837764687152], [0.0], [0.13564718993790797], [0.23196943161916894], [0.602611049195988], [0.15984715809584463], [0.3575863715968795], [0.30552459799395004], [0.3298837764687152], [0.10683012259194397]]
[[0.6], [0.714285714], [0.0], [0.846153846], [0.9], [0.923076923], [0.428571429], [0.9], [0.80952381], [0.714285714], [0.5], [0.25], [0.75], [1.0], [0.660714286], [0.857142857], [0.667], [0.33], [0.838709677], [0.9], [0.54545]]
[[1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [0.0], [1.0], [1.0], [1.0], [0.9417273664967274], [1.0], [1.0]]